brand,model,backmarket_price_usd,backmarket_listing_count,backmarket_url
Samsung,Galaxy S24,409,32,https://www.backmarket.com/
Samsung,Galaxy S24+,459,27,https://www.backmarket.com/
Samsung,Galaxy S24 Ultra,629,19,https://www.backmarket.com/
Samsung,Galaxy S25,679,11,https://www.backmarket.com/
Samsung,Galaxy S25 Ultra,869,8,https://www.backmarket.com/
Google,Pixel 8,339,35,https://www.backmarket.com/
Google,Pixel 8 Pro,429,24,https://www.backmarket.com/
Google,Pixel 9,569,12,https://www.backmarket.com/
Google,Pixel 9 Pro,699,10,https://www.backmarket.com/
Google,Pixel 9 Pro XL,759,6,https://www.backmarket.com/
OnePlus,OnePlus 12,539,13,https://www.backmarket.com/
OnePlus,OnePlus 13,719,6,https://www.backmarket.com/
Xiaomi,Xiaomi 14,589,5,https://www.backmarket.com/
Xiaomi,Xiaomi 14 Ultra,789,3,https://www.backmarket.com/
Xiaomi,Xiaomi 15,809,2,https://www.backmarket.com/
Nothing,Phone (2a),289,9,https://www.backmarket.com/
Nothing,Phone (3),569,4,https://www.backmarket.com/
Motorola,Edge 50 Ultra,499,7,https://www.backmarket.com/
Motorola,Razr 50 Ultra,689,5,https://www.backmarket.com/
Sony,Xperia 1 VI,779,3,https://www.backmarket.com/
ASUS,ROG Phone 8,699,4,https://www.backmarket.com/
ASUS,Zenfone 11 Ultra,649,5,https://www.backmarket.com/
