brand,model,geekbench_single,geekbench_multi
Samsung,Galaxy S24,2150,6900
Samsung,Galaxy S24+,2200,7100
Samsung,Galaxy S24 Ultra,2300,7400
Samsung,Galaxy S25,2420,7700
Samsung,Galaxy S25 Ultra,2500,8100
Google,Pixel 8,1700,4500
Google,Pixel 8 Pro,1750,4700
Google,Pixel 9,1950,5600
Google,Pixel 9 Pro,2050,6000
Google,Pixel 9 Pro XL,2100,6200
OnePlus,OnePlus 12,2280,7300
OnePlus,OnePlus 13,2460,7950
Xiaomi,Xiaomi 14,2250,7200
Xiaomi,Xiaomi 14 Ultra,2320,7500
Xiaomi,Xiaomi 15,2470,8000
Nothing,Phone (2a),1180,3200
Nothing,Phone (3),2050,6100
Motorola,Edge 50 Ultra,2100,6400
Motorola,Razr 50 Ultra,2050,6200
Sony,Xperia 1 VI,2180,7000
ASUS,ROG Phone 8,2360,7650
ASUS,Zenfone 11 Ultra,2300,7400
