brand,model,rating_100,battery_runtime_hours,notebookcheck_url
Samsung,Galaxy S24,89,14.2,https://www.notebookcheck.net/
Samsung,Galaxy S24+,90,15.0,https://www.notebookcheck.net/
Samsung,Galaxy S24 Ultra,92,16.1,https://www.notebookcheck.net/
Samsung,Galaxy S25,92,15.8,https://www.notebookcheck.net/
Samsung,Galaxy S25 Ultra,94,17.2,https://www.notebookcheck.net/
Google,Pixel 8,86,13.3,https://www.notebookcheck.net/
Google,Pixel 8 Pro,88,14.1,https://www.notebookcheck.net/
Google,Pixel 9,89,14.8,https://www.notebookcheck.net/
Google,Pixel 9 Pro,91,15.4,https://www.notebookcheck.net/
Google,Pixel 9 Pro XL,92,16.0,https://www.notebookcheck.net/
OnePlus,OnePlus 12,91,16.8,https://www.notebookcheck.net/
OnePlus,OnePlus 13,94,18.5,https://www.notebookcheck.net/
Xiaomi,Xiaomi 14,90,15.7,https://www.notebookcheck.net/
Xiaomi,Xiaomi 14 Ultra,91,16.2,https://www.notebookcheck.net/
Xiaomi,Xiaomi 15,93,17.4,https://www.notebookcheck.net/
Nothing,Phone (2a),84,14.4,https://www.notebookcheck.net/
Nothing,Phone (3),89,15.6,https://www.notebookcheck.net/
Motorola,Edge 50 Ultra,87,13.8,https://www.notebookcheck.net/
Motorola,Razr 50 Ultra,85,11.0,https://www.notebookcheck.net/
Sony,Xperia 1 VI,88,14.7,https://www.notebookcheck.net/
ASUS,ROG Phone 8,92,18.2,https://www.notebookcheck.net/
ASUS,Zenfone 11 Ultra,90,16.7,https://www.notebookcheck.net/
