brand,model,release_year,os_family,battery_mah,geekbench_single,geekbench_multi,rating_100,battery_runtime_hours,notebookcheck_url,backmarket_price_usd,backmarket_listing_count,backmarket_url,score_geekbench,score_price,score_rating,score_battery,buying_score,rank,analysis_generated_at
OnePlus,OnePlus 13,2025,Android,5800,2460,7950,94,18.5,https://www.notebookcheck.net/,719,6,https://www.backmarket.com/,96.93877551020408,25.86206896551724,100.0,100.0,76.68719211822659,1,2026-05-01T14:44:08.279019+00:00
OnePlus,OnePlus 12,2024,Android,5400,2280,7300,91,16.8,https://www.notebookcheck.net/,539,13,https://www.backmarket.com/,83.6734693877551,56.896551724137936,70.0,77.4193548387097,71.96758302876212,2,2026-05-01T14:44:08.279019+00:00
ASUS,ROG Phone 8,2024,Android,5500,2360,7650,92,18.2,https://www.notebookcheck.net/,699,4,https://www.backmarket.com/,90.81632653061224,29.310344827586206,80.0,93.54838709677418,70.61107579850628,3,2026-05-01T14:44:08.279019+00:00
Samsung,Galaxy S24+,2024,Android,4900,2200,7100,90,15.0,https://www.notebookcheck.net/,459,27,https://www.backmarket.com/,79.59183673469387,70.6896551724138,60.0,52.68817204301073,68.9672652153186,4,2026-05-01T14:44:08.279019+00:00
Samsung,Galaxy S24 Ultra,2024,Android,5000,2300,7400,92,16.1,https://www.notebookcheck.net/,629,19,https://www.backmarket.com/,85.71428571428571,41.379310344827594,80.0,65.59139784946237,68.25250278086763,5,2026-05-01T14:44:08.279019+00:00
Xiaomi,Xiaomi 15,2025,Android,5500,2470,8000,93,17.4,https://www.notebookcheck.net/,809,2,https://www.backmarket.com/,97.95918367346938,10.34482758620689,90.0,84.94623655913976,68.13109804544732,6,2026-05-01T14:44:08.279019+00:00
Samsung,Galaxy S25 Ultra,2025,Android,5200,2500,8100,94,17.2,https://www.notebookcheck.net/,869,8,https://www.backmarket.com/,100.0,0.0,100.0,79.56989247311826,66.93548387096774,7,2026-05-01T14:44:08.279019+00:00
Samsung,Galaxy S25,2025,Android,4200,2420,7700,92,15.8,https://www.notebookcheck.net/,679,11,https://www.backmarket.com/,91.83673469387756,32.758620689655174,80.0,53.76344086021505,66.03495947878595,8,2026-05-01T14:44:08.279019+00:00
Samsung,Galaxy S24,2024,Android,4000,2150,6900,89,14.2,https://www.notebookcheck.net/,409,32,https://www.backmarket.com/,75.51020408163265,79.3103448275862,50.0,34.408602150537625,65.38296519942793,9,2026-05-01T14:44:08.279019+00:00
ASUS,Zenfone 11 Ultra,2024,Android,5500,2300,7400,90,16.7,https://www.notebookcheck.net/,649,5,https://www.backmarket.com/,85.71428571428571,37.93103448275862,60.0,77.41935483870967,64.99221357063404,10,2026-05-01T14:44:08.279019+00:00
Xiaomi,Xiaomi 14,2024,Android,4610,2250,7200,90,15.7,https://www.notebookcheck.net/,589,5,https://www.backmarket.com/,81.63265306122449,48.275862068965516,60.0,57.09677419354837,63.61870332115048,11,2026-05-01T14:44:08.279019+00:00
Xiaomi,Xiaomi 14 Ultra,2024,Android,5300,2320,7500,91,16.2,https://www.notebookcheck.net/,789,3,https://www.backmarket.com/,87.75510204081633,13.793103448275872,70.0,69.89247311827957,59.336087716510406,12,2026-05-01T14:44:08.279019+00:00
Nothing,Phone (3),2025,Android,5100,2050,6100,89,15.6,https://www.notebookcheck.net/,569,4,https://www.backmarket.com/,59.183673469387756,51.724137931034484,50.0,61.29032258064515,55.425075480692826,13,2026-05-01T14:44:08.279019+00:00
Motorola,Edge 50 Ultra,2024,Android,4500,2100,6400,87,13.8,https://www.notebookcheck.net/,499,7,https://www.backmarket.com/,65.3061224489796,63.793103448275865,30.0,35.48387096774194,53.317654536786904,14,2026-05-01T14:44:08.279019+00:00
Google,Pixel 9 Pro XL,2025,Android,5200,2100,6200,92,16.0,https://www.notebookcheck.net/,759,6,https://www.backmarket.com/,61.224489795918366,18.965517241379317,80.0,66.66666666666666,53.118226600985224,15,2026-05-01T14:44:08.279019+00:00
Google,Pixel 9 Pro,2025,Android,5000,2050,6000,91,15.4,https://www.notebookcheck.net/,699,10,https://www.backmarket.com/,57.14285714285714,29.310344827586206,70.0,58.06451612903224,51.50278086763069,16,2026-05-01T14:44:08.279019+00:00
Google,Pixel 9,2025,Android,4700,1950,5600,89,14.8,https://www.notebookcheck.net/,569,12,https://www.backmarket.com/,48.97959183673469,51.724137931034484,50.0,48.387096774193544,49.91816303829652,17,2026-05-01T14:44:08.279019+00:00
Google,Pixel 8 Pro,2024,Android,5050,1750,4700,88,14.1,https://www.notebookcheck.net/,429,24,https://www.backmarket.com/,30.612244897959183,75.86206896551724,40.0,44.623655913978475,48.16645479103765,18,2026-05-01T14:44:08.279019+00:00
Sony,Xperia 1 VI,2024,Android,5000,2180,7000,88,14.7,https://www.notebookcheck.net/,779,3,https://www.backmarket.com/,77.55102040816327,15.517241379310349,40.0,50.53763440860214,47.37867471794057,19,2026-05-01T14:44:08.279019+00:00
Google,Pixel 8,2024,Android,4575,1700,4500,86,13.3,https://www.notebookcheck.net/,339,35,https://www.backmarket.com/,26.53061224489796,91.37931034482759,20.0,30.913978494623656,45.336604163356114,20,2026-05-01T14:44:08.279019+00:00
Nothing,Phone (2a),2024,Android,5000,1180,3200,84,14.4,https://www.notebookcheck.net/,289,9,https://www.backmarket.com/,0.0,100.0,0.0,47.31182795698923,37.096774193548384,21,2026-05-01T14:44:08.279019+00:00
Motorola,Razr 50 Ultra,2024,Android,4000,2050,6200,85,11.0,https://www.notebookcheck.net/,689,5,https://www.backmarket.com/,61.224489795918366,31.034482758620683,10.0,0.0,32.73891625615763,22,2026-05-01T14:44:08.279019+00:00
